日付,カテゴリ,金額,場所,商品名・メモ
2020-07-01,固定費,110000,イオン銀行,ローン
2020-07-01,固定費,20800,楽天銀行,冷蔵庫ローン
2020-07-01,固定費,11302,楽天銀行,Macローン
2020-07-01,固定費,4410,哲太楽天銀行,車両保険(AIG損保)
2020-07-01,固定費,3280,哲太楽天銀行,アクサダイレクト
2020-07-01,固定費,5797,哲太楽天銀行,哲太メットライフ
2020-07-01,固定費,8467,楽天カード,奈月メットライフ
2020-07-01,光熱費,4752,りそな銀行,下水道（2ヶ月毎）
2020-07-01,光熱費,7310,りそな銀行,水道局（2ヶ月毎）
2020-07-01,光熱費,4960,楽天カード,東京電力
2020-07-01,光熱費,11117,楽天カード,東京ガス
2020-07-01,固定費,687,楽天カード,ソネット
2020-07-01,固定費,3361,楽天カード,ソネット
2020-07-01,固定費,2358,楽天カード,楽天モバイル
2020-07-01,固定費,1507,楽天カード,楽天モバイル
2020-07-01,食費,660,Amazon,webライティング書籍
2020-07-02,食費,800,楽天,ポイズンリムーバ
2020-07-02,食費,1000,楽天,ルイボスティー
2020-07-04,食費,2464,WILD−1,Tシャツ
2020-07-04,食費,110,セリア,小物入れ　ベージュ
2020-07-04,食費,110,セリア,ウォーターボトル
2020-07-04,食費,110,セリア,サバイバルツールカード
2020-07-04,食費,110,セリア,BBQトレー
2020-07-04,食費,110,セリア,BBQトレー
2020-07-04,食費,110,セリア,コーヒードリッパー
2020-07-04,食費,220,セリア,ソフトウォータータンク
2020-07-04,食費,252,セブンイレブン,切手
2020-07-04,食費,1580,ジャパンミート,岩手あきたこまち
2020-07-04,食費,830,ジャパンミート,秋田無洗米
2020-07-04,食費,288,ジャパンミート,強力粉
2020-07-04,食費,199,ジャパンミート,キャノーラ油
2020-07-04,食費,59,ジャパンミート,ブルボンプチうすしお
2020-07-04,食費,59,ジャパンミート,ブルボンプチのりしお
2020-07-04,食費,59,ジャパンミート,ブルボンプチコンソメ
2020-07-04,食費,188,ジャパンミート,超熟ライ麦食パン
2020-07-04,食費,198,ジャパンミート,播州とろろそば
2020-07-04,食費,178,ジャパンミート,北海道牛乳
2020-07-04,食費,128,ジャパンミート,イカリソース中濃
2020-07-04,食費,198,ジャパンミート,ホットケーキミックス
2020-07-04,食費,128,ジャパンミート,料理酒
2020-07-04,食費,238,ジャパンミート,野菜ゼリー
2020-07-04,食費,196,ジャパンミート,動物園ゼリー
2020-07-04,食費,148,ジャパンミート,たまごL
2020-07-04,食費,69,ジャパンミート,納豆
2020-07-04,食費,69,ジャパンミート,納豆
2020-07-04,食費,198,ジャパンミート,ひゃんでそば
2020-07-04,食費,158,ジャパンミート,モッツァレラチーズ
2020-07-04,食費,158,ジャパンミート,モッツァレラチーズ
2020-07-04,食費,68,ジャパンミート,サバ缶
2020-07-04,食費,68,ジャパンミート,サバ缶
2020-07-04,食費,68,ジャパンミート,サバ缶
2020-07-04,食費,68,ジャパンミート,サバ缶
2020-07-04,食費,298,ジャパンミート,キシリッシュボトルガム
2020-07-04,食費,88,ジャパンミート,ミックスたまご
2020-07-04,食費,188,ジャパンミート,焼肉のタレ
2020-07-04,食費,298,ジャパンミート,レストラン風カレーレトルト
2020-07-04,食費,298,ジャパンミート,レストラン風カレーレトルト
2020-07-04,食費,1638,Costco,オリーブオイル3L
2020-07-04,食費,838,Costco,さくらどりムネ
2020-07-04,食費,1780,Costco,さくらどりモモ
2020-07-04,食費,2351,Costco,国産豚こま切れ
2020-07-04,光熱費,980,Costco,ミニアスパラガスセット
2020-07-04,食費,1561,Costco,塩サバフィレ
2020-07-04,食費,698,Costco,キムチ
2020-07-04,食費,968,Costco,チャンジャ
2020-07-04,食費,948,Costco,李錦記オイスターソース
2020-07-04,食費,698,Costco,キムチ
2020-07-04,食費,958,Costco,産直めぐり味噌汁
2020-07-04,食費,498,Costco,にんじん
2020-07-04,食費,598,Costco,白ネギ
2020-07-04,食費,698,Costco,玉ねぎ
2020-07-04,食費,1468,Costco,オーガニックスパゲティ
2020-07-04,食費,1458,Costco,トイレ掃除用・ハウスホールドワイプ
2020-07-04,食費,569,ヤオコー,レモンサワーの素
2020-07-04,食費,547,マツキヨ,虫除けEX
2020-07-04,食費,437,マツキヨ,液体ムヒ
2020-07-04,食費,3663,スシロー,スシロー
2020-07-07,食費,3555,楽天,ハナウタ プリント 12ロール ダブル×8点セット
2020-07-08,食費,399,トライアル,ピノアソート
2020-07-08,食費,219,トライアル,カルピスアイスバー
2020-07-08,食費,299,トライアル,ほんだし箱
2020-07-08,食費,699,トライアル,紳士靴下
2020-07-08,食費,127,トライアル,指定ゴミ袋（中）
2020-07-08,食費,198,トライアル,ポテトチップス
2020-07-11,食費,1430,マクドナルド,マクドナルド
2020-07-11,食費,220,道の駅いたこ,大根
2020-07-11,食費,70,道の駅いたこ,しろ菜
2020-07-11,食費,400,道の駅いたこ,乾燥シイタケ
2020-07-11,食費,190,道の駅いたこ,じゃがいも
2020-07-11,食費,320,道の駅いたこ,とうもろこし
2020-07-11,食費,110,道の駅いたこ,赤ピーマン
2020-07-11,食費,100,道の駅いたこ,にんにく
2020-07-11,食費,200,道の駅いたこ,きゅうり
2020-07-11,食費,100,道の駅いたこ,ピーマン
2020-07-11,食費,240,道の駅いたこ,どらやき
2020-07-11,食費,500,鹿島神宮,鹿島神宮・駐車場
2020-07-11,食費,100,鹿島神宮,鹿島神宮・鹿の餌
2020-07-11,食費,4290,やましょう,海鮮焼き
2020-07-11,食費,555,セイコーマート,フライドチキン
2020-07-11,食費,100,セブンイレブン,お茶
2020-07-11,食費,680,ETC,成田〜潮来
2020-07-11,食費,680,ETC,潮来〜成田
2020-07-12,食費,2648,スシロー,スシロー
2020-07-12,食費,731,マツキヨ,ヘアワックス
2020-07-12,食費,968,マツキヨ,蜘蛛の巣ジェット
2020-07-12,食費,547,マツキヨ,ヘアオイル
2020-07-12,食費,877,マツキヨ,Successシャンプー
2020-07-12,食費,731,マツキヨ,ヘアスプレー
2020-07-12,食費,468,マツキヨ,システマ口内洗浄液
2020-07-12,食費,2157,マツキヨ,美容クリームAQL
2020-07-12,食費,158,ヤオコー,牛乳
2020-07-12,食費,129,ヤオコー,本仕込み食パン6
