日付,カテゴリ,小項目,金額,場所,商品名・メモ
2025-01-01,ローン,ローン住居,110000,イオン銀行,ローン
2025-01-01,レジャー,趣味,3300,楽天銀行,アッティーボ（ジム）
2025-01-01,保険,保険その他,5382,哲太楽天銀行,ネオファースト生命
2025-01-01,保険,哲太メットライフ,5797,奈月楽天銀行,哲太メットライフ
2025-01-01,保険,奈月メットライフ,8467,楽天カード,奈月メットライフ
2025-01-01,光熱費,下水道,3761,コンビニ,下水道（2ヶ月毎）
2025-01-01,光熱費,水道,5680,りそな銀行,水道局（2ヶ月毎）
2025-01-01,光熱費,電気,12091,楽天カード,東京電力
2025-01-01,光熱費,ガス,13268,楽天カード,東京ガス
2025-01-01,通信費,通信,687,楽天カード,ソネット
2025-01-01,通信費,通信,5390,楽天カード,ソネット
2025-01-01,通信費,ケータイ,3500,楽天カード,ドコモ
2025-01-01,通信費,ケータイ,3829,哲太カード,ユーキュー
2025-01-01,レジャー,レジャーその他,1590,Netflix,Netflix
2025-01-01,経費,tetta,3986,tetta社用ケータイ,哲太社用ケータイ
2025-01-01,経費,tetta,42000,哲太出社時食事代（出社日数＊2000円）,21.0
2025-01-01,経費,tetta,1200,？,哲太経費
2025-01-01,経費,tetta,1496,Googleアプリ,哲太経費
2025-01-01,経費,natsuki,130,Applecombill,ギガ
2025-01-01,レジャー,趣味,16480,楽天銀行,Lava(奈月)
2025-01-01,経費,tetta,53430,定期代,哲太定期代
2025-01-01,レジャー,旅行,596,ファミマ,お茶、お菓子など
2025-01-01,レジャー,旅行,800,タクシー,タクシー
2025-01-01,レジャー,旅行,471,スタバ,紅茶
2025-01-01,レジャー,旅行,440,兼六園,通行手形
2025-01-01,レジャー,旅行,3045,東京駅,お弁当
2025-01-01,レジャー,旅行,11748,能登巡り,お寿司屋さん
2025-01-01,レジャー,旅行,3013,お土産屋さん,和菓子
2025-01-01,レジャー,旅行,10285,ワインバー,ワインバー
2025-01-02,レジャー,旅行,2184,ENEOS,ガソリン代
2025-01-02,レジャー,旅行,2400,自動車博物館,自動車博物館
2025-01-02,レジャー,旅行,790,高速道路,etc
2025-01-02,レジャー,旅行,830,高速道路,etc
2025-01-02,レジャー,旅行,2030,高速道路,etc
2025-01-02,レジャー,旅行,537,ファミマ,酒
2025-01-02,レジャー,旅行,412,スタバ,コーヒー
2025-01-02,レジャー,旅行,3560,びっくりドンキー,びっくりドンキー
2025-01-02,レジャー,旅行,8459,長八,居酒屋さん
2025-01-02,レジャー,旅行,8899,レンタカー代,レンタカー代
2025-01-02,経費,tetta,153,ＡＭＡＺＯＮ　ＤＯＷＮＬＯＡＤＳ　　　　　　　,Kindle
2025-01-02,経費,tetta,1581,ＡＭＡＺＯＮ　ＤＯＷＮＬＯＡＤＳ　　　　　　　,Kindle
2025-01-03,レジャー,旅行,2000,朝ご飯,のどぐろ釜飯
2025-01-03,レジャー,旅行,2650,森八,お茶、お菓子
2025-01-03,レジャー,旅行,1000,タクシー,タクシー
2025-01-03,レジャー,旅行,2400,21世紀美術館,21世紀美術館
2025-01-03,レジャー,旅行,968,スギ薬局,アホ毛マスカラ
2025-01-03,レジャー,旅行,2592,加賀陣屋,哲太会社お土産
2025-01-03,レジャー,旅行,583,烏鶏庵,カステラ
2025-01-03,レジャー,旅行,1647,森八,福梅、宝達
2025-01-03,レジャー,旅行,194,柴舟小出,ふくさ
2025-01-03,レジャー,旅行,1533,芝寿し,笹の葉ずし
2025-01-03,レジャー,旅行,7000,まいもん寿司,まいもん寿司
2025-01-04,美容,スキンケア,12100,POLA,pola 日焼け止め
2025-01-04,食品,葉物・生鮮野菜,438,ロピア,ミニトマト
2025-01-04,食品,根菜,393,ロピア,大根
2025-01-04,食品,葉物・生鮮野菜,308,ロピア,長ネギ
2025-01-04,食品,魚類・貝類,1518,ロピア,ブリ
2025-01-04,食品,魚類・貝類,1312,ロピア,ブリ刺し身
2025-01-04,食品,調味料,1068,ロピア,ろくすけ塩コショウ
2025-01-05,日用品,バス用品,307,マツキヨ,入浴剤
2025-01-05,食品,牛乳・乳製品,140,ヤオコー,ヨーグルト
2025-01-05,食品,豆腐・納豆類,195,ヤオコー,納豆
2025-01-05,食品,豆腐・納豆類,96,ヤオコー,納豆
2025-01-05,食品,お菓子類,327,ヤオコー,ミックスナッツ
2025-01-05,食品,肉類,587,ヤオコー,豚しゃぶしゃぶ肉
2025-01-05,食品,肉類,512,ヤオコー,豚しゃぶしゃぶ肉
2025-01-05,食品,肉類,1285,ヤオコー,牛ステーキ肉
2025-01-05,食品,肉類,1301,ヤオコー,牛ステーキ肉
2025-01-05,食品,たまご,655,ヤオコー,たまご
2025-01-05,食品,葉物・生鮮野菜,195,ヤオコー,白菜
2025-01-05,食品,葉物・生鮮野菜,173,ヤオコー,アボカド
2025-01-08,経費,tetta,1080,Apple,Apple Music　住友カード
2025-01-08,食品,豆腐・納豆類,129,ロピア,納豆
2025-01-08,食品,根菜,438,ロピア,玉ねぎ
2025-01-08,食品,葉物・生鮮野菜,308,ロピア,白菜
2025-01-08,食品,根菜,218,ロピア,人参
2025-01-08,食品,根菜,207,ロピア,大根
2025-01-08,食品,野菜その他,244,ロピア,舞茸
2025-01-08,食品,魚類・貝類,794,ロピア,ブリ
2025-01-08,食品,根菜,438,ロピア,生姜
2025-01-08,食品,肉類,763,ロピア,豚しゃぶしゃぶ肉
2025-01-08,食品,葉物・生鮮野菜,328,ロピア,春菊
2025-01-08,食品,野菜その他,195,ロピア,えのき
2025-01-08,食品,野菜その他,244,ロピア,しめじ
2025-01-08,食品,葉物・生鮮野菜,218,ロピア,小松菜
2025-01-08,食品,葉物・生鮮野菜,437,ロピア,水菜
2025-01-08,食品,食品その他,97,ロピア,こんにゃく
2025-01-08,食品,野菜その他,283,ロピア,しいたけ
2025-01-11,ガソリン・ETC,ガソリン,8220,Enejet,ガソリン
2025-01-13,衣類,natsuki衣類,2760,フランフラン,ポーチ、エコバック
2025-01-13,食品,お菓子類,429,イオン,飴
2025-01-13,外食費,To Go,530,イオン,コーヒー
2025-01-13,外食費,外食,2970,ジョリーパスタ,ジョリーパスタ
2025-01-13,外食費,外食,2260,うおべい,うおべい
2025-01-14,食品,お菓子類,217,ヤオコー,歌舞伎揚
2025-01-14,食品,お菓子類,239,ヤオコー,たべっこどうぶつ
2025-01-14,食品,根菜,217,ヤオコー,大根
2025-01-14,食品,牛乳・乳製品,140,ヤオコー,ヨーグルト
2025-01-14,食品,調味料,272,ヤオコー,わさび
2025-01-14,食品,食品その他,303,ヤオコー,こんにゃく
2025-01-14,外食費,To Go,217,ヤオコー,やきとり
2025-01-14,食品,肉類,756,ヤオコー,スペアリブ
2025-01-14,食品,葉物・生鮮野菜,173,ヤオコー,白菜
2025-01-14,食品,たまご,655,ヤオコー,たまご
2025-01-14,食品,野菜その他,657,ヤオコー,ポンカン
2025-01-14,食品,野菜その他,173,ヤオコー,洋梨
2025-01-15,経費,natsuki,31800,エポスカード,toreru(商標登録)
2025-01-16,経費,natsuki,8910,楽天・家族カード,バーチャルオフィス
2025-01-16,経費,natsuki,2980,楽天・家族カード,NoLang
2025-01-16,経費,natsuki,1990,楽天・家族カード,Vrew
2025-01-17,食品,パン,166,ヤオコー,食パン
2025-01-17,食品,ドリンク,470,ヤオコー,リンゴジュース
2025-01-17,外食費,To Go,167,ヤオコー,ヒレカツ
2025-01-17,食品,肉類,783,ヤオコー,豚しゃぶしゃぶ肉
2025-01-17,食品,豆腐・納豆類,97,ヤオコー,納豆
2025-01-17,食品,牛乳・乳製品,140,ヤオコー,ヨーグルト
2025-01-17,食品,牛乳・乳製品,261,ヤオコー,椎茸
2025-01-17,食品,野菜その他,437,ヤオコー,しめじ
2025-01-17,食品,葉物・生鮮野菜,173,ヤオコー,白菜
2025-01-17,食品,根菜,217,ヤオコー,ごぼう
2025-01-17,食品,食品その他,347,ヤオコー,こんにゃく
2025-01-17,食品,調味料,217,ヤオコー,カレーフレーク
2025-01-17,食品,ドリンク,327,ヤオコー,お茶の粉
2025-01-17,食品,葉物・生鮮野菜,305,ヤオコー,アボカド
2025-01-17,食品,お菓子類,327,ヤオコー,プルーン
2025-01-17,食品,葉物・生鮮野菜,151,ヤオコー,水菜
2025-01-17,食品,葉物・生鮮野菜,171,ヤオコー,キャベツ
2025-01-17,食品,根菜,217,ヤオコー,レンコン
2025-01-18,日用品,日用品その他,1691,東京インテリア,リモコンBOX
2025-01-18,外食費,外食,1920,丸源ラーメン,丸源ラーメン
2025-01-18,衣類,natsuki衣類,5900,成田そよら,奈月コート
2025-01-18,外食費,外食,420,成田そよら,スタバ
2025-01-18,外食費,外食,3490,うおべい,うおべい
2025-01-19,経費,tetta,400,ＡＰＰＬＥ ＣＯＭ ＢＩＬＬ,？
2025-01-19,経費,tetta,200,ＡＰＰＬＥ ＣＯＭ ＢＩＬＬ,？
2025-01-19,食品,お菓子類,680,ワクワク広場,ロールケーキ
2025-01-22,食品,ドリンク,5292,Nespresso,Nespresso
2025-01-22,経費,natsuki,1228,amazon,ケーブル
2025-01-22,日用品,バス用品,680,マツキヨ,入浴剤
2025-01-22,食品,パン,217,ヤオコー,食パン
2025-01-22,食品,根菜,250,ヤオコー,長芋
2025-01-22,外食費,To Go,75,ヤオコー,おはぎ
2025-01-22,外食費,To Go,327,ヤオコー,ポテサラ
2025-01-22,食品,葉物・生鮮野菜,283,ヤオコー,春菊
2025-01-22,食品,葉物・生鮮野菜,171,ヤオコー,キャベツ
2025-01-22,食品,調味料,217,ヤオコー,ケチャップ
2025-01-22,外食費,To Go,217,ヤオコー,焼き鳥
2025-01-22,食品,調味料,657,ヤオコー,マヨネーズ
2025-01-22,食品,野菜その他,261,ヤオコー,椎茸
2025-01-22,食品,葉物・生鮮野菜,436,ヤオコー,スナップエンドウ
2025-01-22,食品,肉類,618,ヤオコー,豚しゃぶしゃぶ肉
2025-01-22,食品,野菜その他,261,ヤオコー,キムチ
2025-01-22,食品,たまご,721,ヤオコー,たまご
2025-01-22,食品,魚類・貝類,323,ヤオコー,刺身
2025-01-22,食品,根菜,108,ヤオコー,ジャガイモ
2025-01-24,経費,natsuki,600,現金,印鑑証明など
2025-01-24,美容,美容皮膚科,167750,わかばクリニック,フォトナ4D
2025-01-24,経費,natsuki,1404,フルーツインライフ,スロージュース
2025-01-24,経費,natsuki,1404,フルーツインライフ,スロージュース
2025-01-25,日用品,ペーパー類,3780,楽天,トイレットペーパー
2025-01-25,外食費,To Go,2070,成田そよら,トンカツ弁当
2025-01-25,外食費,To Go,764,スタバ,コーヒー
2025-01-25,外食費,To Go,234,スタバ,サンドイッチ差額
2025-01-26,食品,ドリンク,460,ロピア,みかんジュース
2025-01-26,食品,葉物・生鮮野菜,427,ロピア,白菜
2025-01-26,食品,お菓子類,108,ロピア,お菓子
2025-01-26,食品,お菓子類,262,ロピア,お菓子
2025-01-26,食品,お菓子類,102,ロピア,アイス
2025-01-26,食品,お菓子類,102,ロピア,アイス
2025-01-26,食品,お菓子類,102,ロピア,アイス
2025-01-26,食品,肉類,673,ロピア,豚しゃぶしゃぶ肉
2025-01-26,食品,魚類・貝類,959,ロピア,サーモン
2025-01-26,食品,野菜その他,550,ロピア,いちご
2025-01-26,食品,根菜,437,ロピア,さつまいも
2025-01-26,食品,野菜その他,658,ロピア,はっさく
2025-01-26,食品,野菜その他,217,ロピア,こんにゃく
2025-01-26,食品,葉物・生鮮野菜,218,ロピア,春菊
2025-01-26,食品,葉物・生鮮野菜,218,ロピア,春菊
2025-01-26,食品,葉物・生鮮野菜,108,ロピア,水菜
2025-01-26,食品,お菓子類,204,ロピア,アイス
2025-01-26,食品,調味料,1977,ロピア,ろくすけの塩
2025-01-28,食品,お菓子類,283,ヤオコー,おかき
2025-01-28,食品,葉物・生鮮野菜,173,ヤオコー,白菜
2025-01-28,食品,麺類,360,ヤオコー,うどん
